Emotion Class,Mean Accuracy (%),CI Lower (%),CI Upper (%),F1-Score,EO_Gender,EO_Race,EO_Age,DP_Gender,DP_Race,DP_Age
Surprise,96.4,95.71,97.08,0.829,0.053,0.122,0.315,0.008,0.061,0.198
Fear,98.18,97.69,98.67,0.611,0.155,0.349,0.74,0.014,0.011,0.025
Disgust,94.34,93.5,95.19,0.487,0.069,0.257,0.402,0.013,0.039,0.098
Happiness,94.37,93.52,95.21,0.929,0.043,0.035,0.126,0.103,0.093,0.247
Sadness,93.64,92.75,94.53,0.763,0.077,0.075,0.2,0.04,0.034,0.214
Anger,96.98,96.36,97.61,0.736,0.055,0.207,0.832,0.061,0.038,0.054
Neutral,91.1,90.05,92.14,0.805,0.033,0.073,0.188,0.049,0.08,0.159
