Emotion Class,Mean Accuracy (%),CI Lower (%),CI Upper (%),F1-Score,EO_Gender,EO_Race,EO_Age,DP_Gender,DP_Race,DP_Age
Surprise,95.8,95.06,96.53,0.795,0.092,0.095,0.352,0.006,0.056,0.183
Fear,98.0,97.49,98.51,0.557,0.063,0.352,0.622,0.011,0.012,0.028
Disgust,94.08,93.22,94.94,0.459,0.063,0.256,0.541,0.022,0.035,0.07
Happiness,92.88,91.94,93.82,0.91,0.054,0.051,0.166,0.109,0.11,0.22
Sadness,91.02,89.97,92.06,0.675,0.07,0.096,0.259,0.049,0.029,0.202
Anger,96.09,95.39,96.8,0.658,0.061,0.183,0.765,0.066,0.036,0.057
Neutral,88.39,87.22,89.56,0.748,0.067,0.116,0.185,0.053,0.082,0.16
